GHGRP_ID,Landfill_ID,Landfill_Name,State,Physical_Address,City,County,Zip_Code,Latitude,Longitude,Ownership_Type,Landfill_Owner_Organization,Year_Landfill_Opened,Landfill_Closure_Year,Current_Landfill_Status,Waste_in_Place_-tons-,Waste_in_Place_Year,LFG_Collection_System_In_Place?,LFG_Collected_-mmscfd-,LFG_Flared_-mmscfd-,Project_ID,Current_Project_Status,Project_Name,Project_Start_Date,Project_Shutdown_Date,Project_Type_Category,LFG_Energy_Project_Type,RNG_Delivery_Method,MW_Capacity,LFG_Flow_to_Project_-mmscfd-,Current_Year_Emission_Reductions_-MMTCO2e/yr-_-_Direct,Current_Year_Emission_Reductions_-MMTCO2e/yr-_-_Avoided
1001633,23,Advanced_Disposal_Cedar_Hill_Landfill,AL,1319_N._Business_Creek_Road,Ragland,St._Clair,35131,33.68345,-86.25272,Private,Advanced_Disposal_Services,1975,2079,Open,"4,764,347",2017,Yes,1.51,1.51,78-0,Candidate,,,,Unknown,Unknown,,,,,
1006790,7,Advanced_Disposal_Star_Ridge_Landfill,AL,3301_Acmar_Road,Moody,St._Clair,35004,33.60527,-86.51658,Private,Advanced_Disposal_Services,1983,2070,Open,"4,822,600",2009,Yes,1.512,,62-0,Shutdown,Project_#1,1/11/2007,4/1/2009,Direct,Direct_Thermal,,,1.08,,
1006790,7,Advanced_Disposal_Star_Ridge_Landfill,AL,3301_Acmar_Road,Moody,St._Clair,35004,33.60527,-86.51658,Private,Advanced_Disposal_Services,1983,2070,Open,"4,822,600",2009,Yes,1.512,,62-1,Operational,"Project_#1,_De-Expansion_#1",3/15/2012,,Direct,Direct_Thermal,,,0.72,0.6330,0.6220
1001297,10860,Arrowhead_Landfill,AL,"On_Cahaba_Road
Entrance_at_626_Tayloe_Road",Uniontown,Perry,36786,32.413,-87.4685,Private,"Green_Group_Holdings,_LLC",2007,2099,Open,"4,474,734",2017,No,,,180934-0,Candidate,,,,Unknown,Unknown,,,,,
,27,Athens/Limestone_County_SLF_MSWLF,AL,"Strain_Road
off_Highway_31",Athens,Limestone,35611,34.7634,-86.9399,Public,"City_of_Athens,_AL",1972,1996,Closed,"1,195,575",,No,,,82-0,Low_Potential,,,,Unknown,Unknown,,,,,
,16,Bishop_Landfill_Company,AL,379_Pleasant_Grove_Cutoff_Road,Albertville,Marshall,35950,34.27823,-86.33707,Private,Bishop_Landfill_Company,1968,2002,Closed,"2,700,000",,No,,,71-0,Low_Potential,,,,Unknown,Unknown,,,,,
1004245,2005,Black_Warrior_Solid_Waste_Facility,AL,3301_Landfill_Drive,Coker,Tuscaloosa,35452,33.24314,-87.66585,Public,"Black_Warrior_Solid_Waste_Disposal_Authority,_AL",1997,2041,Open,"6,728,956",2017,Yes,0.912,0.912,167090-0,Candidate,,,,Unknown,Unknown,,,,,
,2006,Blount_County/Nectar/Hayden_LF_&_TS,AL,2390_Armstrong_Loop,Hayden,Blount,35079,33.8888,-86.712,Public,"Blount_County,_AL",1980,1994,Closed,,,No,,,167091-0,Low_Potential,,,,Unknown,Unknown,,,,,
1004415,2408,Brundidge_Landfill,AL,515_Cleanwater_Drive,Brundidge,Pike,36010,31.7041,-85.8299,Private,Transload_America_Inc.,,2397,Open,,,No,,,180769-0,Unknown,,,,Unknown,Unknown,,,,,
,6,Calhoun_County_SLF,AL,3625_Morrisville_Road,Anniston,Calhoun,36201,33.675,-85.92,Public,"Calhoun_County_Commission,_AL",1969,1993,Closed,"4,350,000",,No,,,61-0,Low_Potential,,,,Unknown,Unknown,,,,,
